country,total_deaths,total_confirmed,total_tests
Afghanistan,7690.0,179267,951337.0
Albania,3497.0,275574,1817530.0
Algeria,6875.0,265816,230861.0
Andorra,153.0,42156,249838.0
Angola,1900.0,99194,1499795.0
Anguilla,9.0,2984,51382.0
Antigua And Barbuda,137.0,7721,18901.0
Argentina,128729.0,9101319,35716069.0
Armenia,8623.0,422896,3068217.0
Aruba,213.0,35693,177885.0
Australia,7794.0,6593795,70885598.0
Austria,18303.0,4212492,185034905.0
Azerbaijan,9709.0,792638,6838458.0
Bahamas,801.0,33871,233473.0
Bahrain,1479.0,576997,9775981.0
Bangladesh,29127.0,1953012,14051455.0
Barbados,433.0,76261,669421.0
Belarus,6978.0,982867,13220483.0
Belgium,31613.0,4116397,33846023.0
Belize,676.0,57896,549217.0
Benin,163.0,26952,604310.0
Bermuda,135.0,14135,893980.0
Bhutan,21.0,59570,2303690.0
Bolivia,21943.0,906146,2705422.0
Bosnia And Herzegovina,15778.0,377511,1767199.0
Botswana,2690.0,306324,2026898.0
Brazil,664920.0,30682094,63776166.0
British Virgin Islands,62.0,6573,103637.0
Brunei Darussalam,220.0,144659,717784.0
Bulgaria,37045.0,1161504,9924259.0
Burkina Faso,382.0,20853,248995.0
Burundi,38.0,41235,345742.0
Cabo Verde,401.0,56105,400982.0
Cambodia,3056.0,136262,2961934.0
Cameroon,1927.0,119780,1751774.0
Canada,40228.0,3821346,61436458.0
Caribbean Netherlands,35.0,9915,30126.0
Cayman Islands,28.0,23578,222773.0
Central African Republic,113.0,14649,81294.0
Chad,193.0,7414,191341.0
Channel Islands,173.0,75275,1252808.0
Chile,57722.0,3605522,37693651.0
China Hong Kong Sar,9361.0,1208506,44972952.0
China Macao Sar,0.0,82,5375.0
China,14569.0,20810000,160000000.0
Colombia,139821.0,6095316,34675581.0
Comoros,160.0,8100,0.0
Congo,385.0,24079,347815.0
Cook Islands,1.0,5410,17469.0
Costa Rica,8444.0,866164,4401922.0
Cote D Ivoire,799.0,81989,1509861.0
Croatia,15930.0,1131450,4838151.0
Cuba,8529.0,1104589,12920253.0
Curacao,275.0,43017,496693.0
Cyprus,1032.0,477711,9477138.0
Czech Republic,40245.0,3915847,55323981.0
Democratic Republic Of The Congo,1337.0,87023,846704.0
Denmark,6287.0,2976667,127345763.0
Djibouti,189.0,15631,305941.0
Dominica,63.0,12685,194894.0
Dominican Republic,4376.0,580412,3305829.0
Ecuador,35607.0,872268,2470170.0
Egypt,24613.0,515645,3693367.0
El Salvador,4129.0,162089,1950448.0
Equatorial Guinea,183.0,15910,317211.0
Eritrea,103.0,9745,23693.0
Estonia,2556.0,573922,3345340.0
Ethiopia,7510.0,470937,4836364.0
Faeroe Islands,28.0,34658,778000.0
Falkland Islands Malvinas,0.0,1126,8632.0
Fiji,862.0,64773,517703.0
Finland,4284.0,1069740,10832080.0
France,147257.0,29160802,271490188.0
French Guiana,397.0,81784,631628.0
French Polynesia,649.0,72821,0.0
Gabon,304.0,47608,1594523.0
Gambia,365.0,11999,155686.0
Georgia,16811.0,1655221,16920079.0
Germany,137919.0,25780226,122332384.0
Ghana,1445.0,161280,2442206.0
Gibraltar,102.0,18129,534283.0
Greece,29547.0,3392575,81233888.0
Greenland,21.0,11971,164926.0
Grenada,221.0,16344,157363.0
Guadeloupe,854.0,140130,938039.0
Guatemala,17792.0,851877,4543522.0
Guinea Bissau,171.0,8222,136655.0
Guinea,442.0,36597,660107.0
Guyana,1228.0,63804,610906.0
Haiti,835.0,30713,132422.0
Holy See,0.0,29,0.0
Honduras,10896.0,424390,1365056.0
Hungary,46343.0,1909948,11394556.0
Iceland,120.0,186545,2264004.0
India,524214.0,43121599,843836914.0
Indonesia,156458.0,6050776,97245391.0
Iran,141224.0,7228051,51771715.0
Iraq,25216.0,2326458,18529376.0
Ireland,7203.0,1535451,12144747.0
Isle Of Man,105.0,28416,150753.0
Israel,10749.0,4106793,41373364.0
